Negeri,Daerah,Kawasan
Perlis,Padang Besar,Titi Tinggi
Perlis,Padang Besar,Beseri
Perlis,Padang Besar,Chuping
Perlis,Padang Besar,Mata Ayer
Perlis,Padang Besar,Santan
Perlis,Kangar,Bintong
Perlis,Kangar,Sena
Perlis,Kangar,Indera Kayangan
Perlis,Kangar,Kuala Perlis
Perlis,Kangar,Kayang
Perlis,Arau,Pauh
Perlis,Arau,Tambun Tulang
Perlis,Arau,Guar Sanji
Perlis,Arau,Simpang Empat
Perlis,Arau,Sanglang
Kedah,Langkawi,Ayer Hangat
Kedah,Langkawi,Kuah
Kedah,Jerlun,Kota Siputeh
Kedah,Jerlun,Ayer Hitam
Kedah,Kubang Pasu,Bukit Kayu Hitam
Kedah,Kubang Pasu,Jitra
Kedah,Padang Terap,Kuala Nerang
Kedah,Padang Terap,Pedu
Kedah,Pokok Sena,Bukit Lada
Kedah,Pokok Sena,Bukit Pinang
Kedah,Pokok Sena,Derga
Kedah,Alor Setar,Suka Menanti
Kedah,Alor Setar,Kota Darul Aman
Kedah,Alor Setar,Alor Mengkudu
Kedah,Kuala Kedah,Anak Bukit
Kedah,Kuala Kedah,Kubang Rotan
Kedah,Kuala Kedah,Pengkalan Kundor
Kedah,Pendang,Tokai
Kedah,Pendang,Sungai Tiang
Kedah,Jerai,Sungai Limau
Kedah,Jerai,Guar Chempedak
Kedah,Jerai,Gurun
Kedah,Sik,Belantek
Kedah,Sik,Jeneri
Kedah,Merbok,Bukit Selambau
Kedah,Merbok,Tanjong Dawai
Kedah,Sungai Petani,Pantai Merdeka
Kedah,Sungai Petani,Bakar Arang
Kedah,Sungai Petani,Sidam
Kedah,Baling,Bayu
Kedah,Baling,Kupang
Kedah,Baling,Kuala Ketil
Kedah,Padang Serai,Merbau Pulas
Kedah,Padang Serai,Lunas
Kedah,Kulim-Bandar Baharu,Kulim
Kedah,Kulim-Bandar Baharu,Bandar Baharu
Kelantan,Tumpat,Pengkalan Kubor
Kelantan,Tumpat,Kelaboran
Kelantan,Tumpat,Pasir Pekan
Kelantan,Tumpat,Wakaf Bharu
Kelantan,Pengkalan Chepa,Kijang
Kelantan,Pengkalan Chepa,Chempaka
Kelantan,Pengkalan Chepa,Panchor
Kelantan,Kota Bharu,Tanjong Mas
Kelantan,Kota Bharu,Kota Lama
Kelantan,Kota Bharu,Bunut Payong
Kelantan,Pasir Mas,Tendong
Kelantan,Pasir Mas,Pengkalan Pasir
Kelantan,Pasir Mas,Meranti
Kelantan,Rantau Panjang,Chetok
Kelantan,Rantau Panjang,Gual Periok
Kelantan,Rantau Panjang,Apam Putra
Kelantan,Kubang Kerian,Salor
Kelantan,Kubang Kerian,Pasir Tumboh
Kelantan,Kubang Kerian,Demit
Kelantan,Bachok,Tawang
Kelantan,Bachok,Pantai Irama
Kelantan,Bachok,Jelawat
Kelantan,Ketereh,Melor
Kelantan,Ketereh,Kadok
Kelantan,Ketereh,Kok Lanas
Kelantan,Tanah Merah,Bukit Panau
Kelantan,Tanah Merah,Gual Ipoh
Kelantan,Tanah Merah,Kemahang
Kelantan,Pasir Puteh,Selising
Kelantan,Pasir Puteh,Limbongan
Kelantan,Pasir Puteh,Semerak
Kelantan,Pasir Puteh,Gaal
Kelantan,Machang,Pulai Chondong
Kelantan,Machang,Temangan
Kelantan,Machang,Kemuning
Kelantan,Jeli,Bukit Bunga
Kelantan,Jeli,Air Lanas
Kelantan,Jeli,Kuala Balah
Kelantan,Kuala Krai,Mengkebang
Kelantan,Kuala Krai,Guchil
Kelantan,Kuala Krai,Manek Urai
Kelantan,Kuala Krai,Dabong
Kelantan,Gua Musang,Nenggiri
Kelantan,Gua Musang,Paloh
Kelantan,Gua Musang,Galas
Terengganu,Besut,Kuala Besut
Terengganu,Besut,Kota Putera
Terengganu,Besut,Jertih
Terengganu,Besut,Hulu Besut
Terengganu,Setiu,Jabi
Terengganu,Setiu,Permaisuri
Terengganu,Setiu,Langkap
Terengganu,Setiu,Batu Rakit
Terengganu,Kuala Nerus,Tepuh
Terengganu,Kuala Nerus,Buluh Gading
Terengganu,Kuala Nerus,Seberang Takir
Terengganu,Kuala Nerus,Bukit Tunggal
